,Offense,Longitude,Latitude
21054,Unknown Offense,-76.6030008912,39.2932950939
21055,Unknown Offense,-76.6501985881,39.2897247368
21056,6D-Larceny- From Auto,-76.5756019232,39.2935609831
21057,Unknown Offense,-76.6561178122,39.2876971532
21058,Unknown Offense,-76.6561178122,39.2876971532
21059,3B-Robb Highway (Ua),-76.6352031119,39.2866307165
21060,Unknown Offense,-76.6534944296,39.2986141793
21061,6D-Larceny- From Auto,-76.5416124676,39.2766327527
21062,Unknown Offense,-76.5416124676,39.2766327527
21063,Unknown Offense,-76.5416124676,39.2766327527
21064,87-Narcotics,-76.5406770572,39.2810565123
21065,55-Disorderly Person,-76.5435153718,39.2762872439
21066,2J-Other Sex Offn.,-76.612787086,39.28173719
21067,Unknown Offense,-76.6356789283,39.3042766852
21068,Unknown Offense,-76.6836095283,39.3476752104
21069,4E-Common Assault,-76.5447249665,39.3263860434
21070,Unknown Offense,-76.5822162319,39.2968737813
21071,Unknown Offense,-76.5807949333,39.2969387653
21072,Unknown Offense,-76.6305852446,39.3035491765
21073,Unknown Offense,-76.6073589793,39.3446395971
21074,Unknown Offense,-76.5644286127,39.3290090079
21075,Unknown Offense,-76.5644286127,39.3290090079
21076,Unknown Offense,-76.5653175943,39.3282979697
21077,Unknown Offense,-76.5653175943,39.3282979697
21078,Unknown Offense,-76.6844632034,39.2970633338
21079,6C-Larceny- Shoplifting,-76.6212438101,39.2928471107
21080,Unknown Offense,-76.6210021717,39.2893323126
21081,Unknown Offense,-76.6525105476,39.2824691481
21082,Unknown Offense,-76.6243449408,39.300925621
21083,Unknown Offense,-76.5772008024,39.2961940457
21084,Unknown Offense,-76.6063317449,39.2945877183
21085,Unknown Offense,-76.6054042079,39.2360593422
21086,Unknown Offense,-76.6100972198,39.2913120768
21087,4E-Common Assault,-76.6112342011,39.3180241579
21088,Unknown Offense,-76.6811397018,39.2818199237
21089,Unknown Offense,-76.6811397018,39.2818199237
21090,Unknown Offense,-76.6091713275,39.237109945
21091,Unknown Offense,-76.6114242975,39.2377461475
21092,Unknown Offense,-76.6114242975,39.2377461475
21093,Unknown Offense,-76.6039329174,39.2367112475
21094,Unknown Offense,-76.6746000596,39.3131203548
21095,Unknown Offense,-76.558184395,39.3485845139
21096,Unknown Offense,-76.5718862596,39.2929832194
21097,Unknown Offense,-76.5718862596,39.2929832194
21098,Unknown Offense,-76.5718862596,39.2929832194
21099,3K-Robb Res. (Ua),-76.6714384634,39.3057203323
21100,79-Other,-76.6684165506,39.3122870536
21101,75-Destruct. Of Property,-76.6669427302,39.2951390535
21102,Unknown Offense,-76.621188558,39.2929794458
21103,Unknown Offense,-76.6661639955,39.3072244769
21104,Unknown Offense,-76.6661639955,39.3072244769
21105,6C-Larceny- Shoplifting,-76.6088619014,39.2606187771
21106,6C-Larceny- Shoplifting,-76.6088619014,39.2606187771
21107,Unknown Offense,-76.5788958728,39.296888432
21108,Unknown Offense,-76.5795042285,39.301103726
21109,95-Exparte,-76.5838692961,39.3057542503
21110,Unknown Offense,-76.5843636151,39.311101685
21111,Unknown Offense,-76.5843636151,39.311101685
21112,Unknown Offense,-76.5839748917,39.3047293482
21113,Unknown Offense,-76.6525194265,39.2970945173
21114,118-Burglary - Fourth Degree,-76.5887442731,39.3044961153
21115,4E-Common Assault,-76.5985474244,39.2939525371
21116,Unknown Offense,-76.6526353583,39.2843833576
21117,Unknown Offense,-76.6526353583,39.2843833576
21118,Unknown Offense,-76.6526353583,39.2843833576
21119,Unknown Offense,-76.5989253765,39.2942844334
21120,Unknown Offense,-76.6085232692,39.2370295156
21121,3B-Robb Highway (Ua),-76.6183016922,39.2923288036
21122,Unknown Offense,-76.6009121261,39.3120169402
21123,3CK-Robb Comm-Knife,-76.6423516819,39.2751346448
21124,Unknown Offense,-76.645480919,39.292081025
21125,Unknown Offense,-76.5857584027,39.3111341096
21126,Unknown Offense,-76.5903637318,39.3275400205
